6010.0374146	1.0014940
6010.0573734	1.0010390
6010.0773323	1.0014180
6010.0972911	1.0014980
6010.1172499	1.0011640
6010.1372087	1.0006310
6010.1571676	1.0004460
6010.1771264	1.0008340
6010.1970852	1.0010750
6010.2170440	1.0007110
6010.2370029	0.9996575
6010.2569617	0.9987201
6010.2769205	0.9992254
6010.2968793	1.0002180
6010.3168382	1.0001740
6010.3367970	0.9996651
6010.3567558	0.9994952
6010.3767146	0.9999537
6010.3966735	1.0008360
6010.4166323	1.0011280
6010.4365911	1.0006500
6010.4565499	0.9999629
6010.4765088	0.9996852
6010.4964676	1.0003010
6010.5164264	1.0005910
6010.5363852	0.9995264
6010.5563441	0.9987581
6010.5763029	0.9991072
6010.5962617	0.9990740
6010.6162205	0.9977943
6010.6361794	0.9951452
6010.6561382	0.9925757
6010.6760970	0.9922093
6010.6960558	0.9938436
6010.7160147	0.9962600
6010.7359735	0.9971399
6010.7559323	0.9955676
6010.7758911	0.9947518
6010.7958500	0.9960809
6010.8158088	0.9978864
6010.8357676	0.9995146
6010.8557264	1.0009790
6010.8756853	1.0017650
6010.8956441	1.0014220
6010.9156029	1.0004580
6010.9355617	0.9995559
6010.9555206	0.9992600
6010.9754794	0.9995320
6010.9954382	0.9993514
6011.0153970	0.9984756
6011.0353559	0.9974146
6011.0553147	0.9968207
6011.0752735	0.9972920
6011.0952323	0.9983484
6011.1151912	0.9992775
6011.1351500	0.9998630
6011.1551088	0.9999796
6011.1750676	0.9995742
6011.1950265	0.9987331
6011.2149853	0.9976329
6011.2349441	0.9966812
6011.2549029	0.9963576
6011.2748618	0.9962945
6011.2948206	0.9960241
6011.3147794	0.9963176
6011.3347382	0.9975528
6011.3546970	0.9985519
6011.3746559	0.9987316
6011.3946147	0.9984991
6011.4145735	0.9981906
6011.4345323	0.9980999
6011.4544912	0.9979671
6011.4744500	0.9974047
6011.4944088	0.9968518
6011.5143676	0.9967824
6011.5343265	0.9971744
6011.5542853	0.9979529
6011.5742441	0.9991168
6011.5942029	1.0001540
6011.6141618	1.0001510
6011.6341206	0.9993877
6011.6540794	0.9987383
6011.6740382	0.9988606
6011.6939971	1.0000150
6011.7139559	1.0012030
6011.7339147	1.0015500
6011.7538735	1.0008720
6011.7738324	0.9996498
